tipo,ejemplos,precision,recall,f1
none,7640,0.8986175115207373,1.0,0.9466019417475728
unknown,1950,1.0,0.8964102564102564,0.9453758788534343
high,3823,1.0,0.9971226785247188,0.9985592665356909
low,3956,1.0,1.0,1.0
